lat,lon,aadt,year,road,func_class,layer,AADT_2024,AADT_2023,AADT_2022,AADT_2021,AADT_2020,AADT_2019,AADT_2018,AADT_2017,AADT_2016,redirected_traffic,New_AADT_2024,Traffic_Increase_Percent
41.72596022745397,-72.60671609986493,178,2024,RISLEY RD,Local,Local Intersections,178,172,566,477,942,1321,1176,1221,1289.0,0.0,178.0,0.0
41.70909323938563,-72.56890471944736,115,2024,WARNER CT,Local,Local Intersections,115,89,202,123,289,376,325,347,271.0,0.0,115.0,0.0
41.68534626985,-72.51943403860548,203,2024,WITTLES WAY,Local,Local Intersections,203,73,21,21,207,495,300,297,230.0,0.0,203.0,0.0
41.69644264391592,-72.5212425246861,846,2024,WEIR ST,Local,Local Intersections,846,867,1462,2870,1656,1946,1614,1708,1713.0,0.0,846.0,0.0
41.70261339716404,-72.57411391095782,315,2024,LINCOLN DR,Local,Local Intersections,315,209,320,354,638,817,727,754,775.0,0.0,315.0,0.0
41.70816222076679,-72.54438488121032,737,2024,STRICKLAND ST,Local,Local Intersections,737,541,1320,1467,1915,2792,2053,2165,2185.0,0.0,737.0,0.0
41.682224201137096,-72.54992959488685,8600,2024,NEW LONDON TPK,Major Collector,Local Intersections,8600,8100,8100,8100,9800,9800,9800,8900,4934.0,0.0,8600.0,0.0
41.72415434888884,-72.55947148139116,152,2024,SPRUCE LA,Local,Local Intersections,152,89,923,404,575,708,610,629,633.0,0.0,152.0,0.0
41.72036516411063,-72.51353237800369,300,2024,NATCHAUG DR,Local,Local Intersections,300,250,250,250,300,300,300,350,835.0,0.0,300.0,0.0
41.7362427166232,-72.46317827404394,79,2024,LOOKOUT LANDING,Local,Local Intersections,79,84,194,140,399,476,370,450,496.0,0.0,79.0,0.0
41.70144688144464,-72.58404411366509,8600,2024,NEW LONDON TPK,Major Collector,Local Intersections,8600,8100,8100,8100,9800,9800,9800,8900,9163.0,0.0,8600.0,0.0
41.67961195619718,-72.58526215624416,127,2024,MOSELEY TER,Local,Local Intersections,127,152,354,374,701,896,661,717,730.0,0.0,127.0,0.0
41.69760110538076,-72.60123040696908,71,2024,STEVENS LA,Local,Local Intersections,71,85,198,194,407,541,483,446,422.0,0.0,71.0,0.0
41.71434868126807,-72.60392923862995,582,2024,MELROSE ST,Local,Local Intersections,582,367,431,719,627,860,807,817,801.0,0.0,582.0,0.0
41.72264048016675,-72.5488091571472,97,2024,SHAGBARK RD,Local,Local Intersections,97,93,493,325,424,700,583,606,613.0,0.0,97.0,0.0
41.71486052525094,-72.6042459170495,59,2024,MEDFORD ST,Local,Local Intersections,59,68,44,32,303,466,385,373,343.0,0.0,59.0,0.0
41.68914197763944,-72.56393902251911,8600,2024,NEW LONDON TPK,Major Collector,Local Intersections,8600,8100,8100,8100,9800,9800,9800,8900,5621.0,0.0,8600.0,0.0
41.7273261199321,-72.53698685847539,54,2024,OLD RESERVOIR RD,Local,Local Intersections,54,72,254,87,324,361,351,366,367.0,0.0,54.0,0.0
41.6523455726982,-72.57913666731756,86,2024,HI-GATE FARMS RD,Local,Local Intersections,86,67,21,21,236,283,21,21,21.0,0.0,86.0,0.0
41.68216086631858,-72.5951900099432,2632,2024,OVERLOOK RD,Local,Local Intersections,2632,2363,2220,3417,3141,3982,3302,3508,3601.0,0.0,2632.0,0.0
41.72230813401831,-72.61288861247206,82,2024,WRIGHTS LA,Local,Local Intersections,82,98,106,60,688,1027,760,1015,1115.0,0.0,82.0,0.0
41.689716052266114,-72.59111570389673,723,2024,FOUNDERS RD,Local,Local Intersections,723,742,1522,2387,2535,3049,2624,2726,2786.0,0.0,723.0,0.0
41.70445092927667,-72.57978626366355,97,2024,LENOX DR NO 1,Local,Local Intersections,97,63,203,186,391,554,468,514,519.0,0.0,97.0,0.0
41.69936088318497,-72.52855185327915,748,2024,SHODDY MILL RD,Local,Local Intersections,748,758,1446,4461,2136,2658,2242,2379,2371.0,0.0,748.0,0.0
41.726558032319794,-72.60327350886267,697,2024,HARRIS ST,Local,Local Intersections,697,382,2534,2798,2714,3837,3147,3264,3377.0,0.0,697.0,0.0
41.72931231790032,-72.600355457503,409,2024,LONG HILL DR,Local,Local Intersections,409,283,692,397,1012,1324,1134,1190,1214.0,0.0,409.0,0.0
41.7159175344856,-72.61392104663824,145,2024,PARKER TER,Local,Local Intersections,145,76,34,43,283,485,371,399,367.0,0.0,145.0,0.0
41.67812798647416,-72.58176156627752,31,2024,CHESTNUT HILL TER,Local,Local Intersections,31,70,34,73,356,389,395,383,213.0,0.0,31.0,0.0
41.72699727903261,-72.60500392169183,85,2024,DENSLOW RD,Local,Local Intersections,85,114,230,233,533,714,522,528,594.0,0.0,85.0,0.0
41.67517134061762,-72.58421420027143,527,2024,OLDE WOOD RD,Local,Local Intersections,527,475,1657,2240,1449,1807,1461,1511,1466.0,0.0,527.0,0.0
41.67699612405882,-72.59081006372465,65,2024,NORTHVIEW DR,Local,Local Intersections,65,96,399,249,381,419,264,116,102.0,0.0,65.0,0.0
